60950004,1,URBAN AND CENTER CITY,1,38.102507,-122.237976,-8
60950006,1,SUBURBAN,2,38.0656,-122.1507,-8
60970003,1,URBAN AND CENTER CITY,1,38.443503,-122.710169,-8
60990006,1,SUBURBAN,2,37.487981,-120.837005,-8
61010003,1,SUBURBAN,2,39.138773,-121.618549,-8
61072002,1,URBAN AND CENTER CITY,1,36.332179,-119.291228,-8
61112002,1,SUBURBAN,2,34.276362,-118.683757,-8
61113001,1,RURAL,3,34.252378,-119.143176,-8
61130004,1,RURAL,3,38.53445,-121.7734,-8
80013001,2,RURAL,3,39.838119,-104.94984,-7
80310002,1,URBAN AND CENTER CITY,1,39.751184,-104.987625,-7
80671004,1,RURAL,3,37.30389,-107.484167,-7
80677001,1,RURAL,3,37.13678,-107.62863,-7
80677003,1,RURAL,3,37.10258,-107.870219,-7
90019003,1,RURAL,3,41.118333,-73.336667,-5
90031003,1,SUBURBAN,2,41.784722,-72.631667,-5
90050004,1,URBAN AND CENTER CITY,1,41.64486,-73.07908,-5
90090027,1,URBAN AND CENTER CITY,1,41.3014,-72.902871,-5
100032004,1,URBAN AND CENTER CITY,1,39.739444,-75.558056,-5
110010025,1,URBAN AND CENTER CITY,1,38.583226,-77.1219,-5
110010041,1,URBAN AND CENTER CITY,1,38.895572,-76.958072,-5
110010043,1,URBAN AND CENTER CITY,1,38.921847,-77.013178,-5
120110031,1,SUBURBAN,2,26.272,-80.295,-5
120118002,1,SUBURBAN,2,26.087,-80.111,-5
120310032,2,SUBURBAN,2,30.356339,-81.635396,-5
120330004,1,SUBURBAN,2,30.525367,-87.20355,-6
120570081,1,RURAL,3,27.740033,-82.465146,-5
120571065,1,SUBURBAN,2,27.892222,-82.538611,-5
120573002,1,RURAL,3,27.96565,-82.2304,-5
120573002,2,RURAL,3,27.96565,-82.2304,-5
120814012,1,URBAN AND CENTER CITY,1,27.480556,-82.618889,-5
120860027,1,SUBURBAN,2,25.733378,-80.161806,-5
120864002,2,URBAN AND CENTER CITY,1,25.798333,-80.210278,-5
120952002,1,URBAN AND CENTER CITY,1,28.596389,-81.3625,-5
120991004,1,SUBURBAN,2,26.693056,-80.099444,-5
121030018,1,SUBURBAN,2,27.785866,-82.739875,-5
121151006,1,SUBURBAN,2,27.350278,-82.48,-5
130890002,1,SUBURBAN,2,33.68797,-84.29048,-5
131210048,1,URBAN AND CENTER CITY,1,33.77933,-84.39576,-5
132230003,1,RURAL,3,33.9285,-85.04534,-5
132470001,1,RURAL,3,33.591077,-84.065294,-5
160010010,1,URBAN AND CENTER CITY,1,43.600699,-116.347853,-7
160010019,1,URBAN AND CENTER CITY,1,43.634585,-116.233919,-7
160550003,1,RURAL,3,47.788908,-116.804539,-8
170310063,1,URBAN AND CENTER CITY,1,41.877682,-87.635027,-6
170310072,1,URBAN AND CENTER CITY,1,41.895812,-87.607683,-6
